File Path,Category,Header Name,Documentation Status,Primary Purpose,Dependencies,Complexity Level,Verification Status,Notes
include/xieite/data/after.hpp,data,after.hpp,Documented,Returns iterator after first occurrence of value,Standard library iterator concepts,Medium,Complete,Documented in iterator_utilities.md
include/xieite/data/after_last.hpp,data,after_last.hpp,Documented,Returns iterator after last occurrence of value,Standard library iterator concepts,Medium,Complete,Documented in iterator_utilities.md
include/xieite/data/before.hpp,data,before.hpp,Documented,Returns iterator before first occurrence of value,Standard library iterator concepts,Medium,Complete,Documented in iterator_utilities.md
include/xieite/data/before_last.hpp,data,before_last.hpp,Documented,Returns iterator before last occurrence of value,Standard library iterator concepts,Medium,Complete,Documented in iterator_utilities.md
include/xieite/data/between.hpp,data,between.hpp,Documented,Returns range between two iterators or values,Standard library iterator concepts,Medium,Complete,Documented in iterator_utilities.md
include/xieite/data/chars.hpp,data,chars.hpp,Documented,Character classification utilities and constants,None,Low,Complete,Supporting utility for string operations
include/xieite/data/cmp_ignore_case.hpp,data,cmp_ignore_case.hpp,Documented,Case-insensitive string comparison,tolower/toupper utilities,Low,Complete,Documented in string_utilities.md
include/xieite/data/find_most_consec.hpp,data,find_most_consec.hpp,Documented,Finds most consecutive occurrences of value,Standard library iterator concepts,Medium,Complete,Documented in iterator_utilities.md
include/xieite/data/find_most_consec_if.hpp,data,find_most_consec_if.hpp,Documented,Finds most consecutive elements matching predicate,Standard library iterator concepts,Medium,Complete,Documented in iterator_utilities.md
include/xieite/data/find_occur.hpp,data,find_occur.hpp,Documented,Finds nth occurrence of value in range,Standard library iterator concepts,Medium,Complete,Documented in iterator_utilities.md
include/xieite/data/find_occur_if.hpp,data,find_occur_if.hpp,Documented,Finds nth occurrence matching predicate,Standard library iterator concepts,Medium,Complete,Documented in iterator_utilities.md
include/xieite/data/fixed_array.hpp,data,fixed_array.hpp,Documented,Fixed-size array container with compile-time size,None,Medium,Complete,Documented in fixed_containers.md
include/xieite/data/fixed_map.hpp,data,fixed_map.hpp,Documented,Fixed-size map container with compile-time capacity,None,High,Complete,Documented in fixed_containers.md
include/xieite/data/fixed_md_container.hpp,data,fixed_md_container.hpp,Documented,Fixed-size multi-dimensional container,md_container.hpp,High,Complete,Documented in fixed_containers.md
include/xieite/data/fixed_set.hpp,data,fixed_set.hpp,Documented,Fixed-size set container with compile-time capacity,None,High,Complete,Documented in fixed_containers.md
include/xieite/data/fixed_str.hpp,data,fixed_str.hpp,Documented,Fixed-size string with compile-time capacity,None,Medium,Complete,Documented in fixed_containers.md
include/xieite/data/isalnum.hpp,data,isalnum.hpp,Documented,Character classification: alphanumeric check,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/isalpha.hpp,data,isalpha.hpp,Documented,Character classification: alphabetic check,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/isblank.hpp,data,isblank.hpp,Documented,Character classification: blank character check,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/iscntrl.hpp,data,iscntrl.hpp,Documented,Character classification: control character check,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/isdigit.hpp,data,isdigit.hpp,Documented,Character classification: digit check,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/isgraph.hpp,data,isgraph.hpp,Documented,Character classification: graphical character check,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/islower.hpp,data,islower.hpp,Documented,Character classification: lowercase check,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/isprint.hpp,data,isprint.hpp,Documented,Character classification: printable character check,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/ispunct.hpp,data,ispunct.hpp,Documented,Character classification: punctuation check,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/isspace.hpp,data,isspace.hpp,Documented,Character classification: whitespace check,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/isupper.hpp,data,isupper.hpp,Documented,Character classification: uppercase check,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/isxdigit.hpp,data,isxdigit.hpp,Documented,Character classification: hexadecimal digit check,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/iters.hpp,data,iters.hpp,Documented,Iterator pair utility for range-based operations,Standard library iterator concepts,Medium,Complete,Documented in iterator_utilities.md
include/xieite/data/make_array.hpp,data,make_array.hpp,Documented,Creates std::array from variadic arguments,None,Low,Complete,Documented in iterator_utilities.md
include/xieite/data/make_ptr.hpp,data,make_ptr.hpp,Documented,Creates smart pointer from value,None,Low,Complete,Documented in iterator_utilities.md
include/xieite/data/make_sparse_array.hpp,data,make_sparse_array.hpp,Documented,Creates sparse array from index-value pairs,None,Medium,Complete,Documented in iterator_utilities.md
include/xieite/data/make_str_view.hpp,data,make_str_view.hpp,Documented,Creates std::string_view from various string types,None,Low,Complete,Documented in iterator_utilities.md
include/xieite/data/md_container.hpp,data,md_container.hpp,Documented,Multi-dimensional container with dynamic sizing,None,High,Complete,Documented in fixed_containers.md
include/xieite/data/number_str_config.hpp,data,number_str_config.hpp,Documented,Configuration for number-to-string conversion,None,Medium,Complete,Supporting utility for string operations
include/xieite/data/pad.hpp,data,pad.hpp,Documented,Pads string to specified length on both sides,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/pad_back.hpp,data,pad_back.hpp,Documented,Pads string to specified length at the end,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/pad_front.hpp,data,pad_front.hpp,Documented,Pads string to specified length at the beginning,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/palindrome.hpp,data,palindrome.hpp,Documented,Checks if string or range is a palindrome,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/partial_reverse.hpp,data,partial_reverse.hpp,Documented,Reverses a portion of a range,Standard library iterator concepts,Medium,Complete,Documented in iterator_utilities.md
include/xieite/data/ptr.hpp,data,ptr.hpp,Documented,Smart pointer wrapper with additional functionality,None,Medium,Complete,Documented in fixed_containers.md
include/xieite/data/quote.hpp,data,quote.hpp,Documented,Adds quotes around string with escape handling,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/ref.hpp,data,ref.hpp,Documented,Reference wrapper with additional functionality,None,Medium,Complete,Documented in fixed_containers.md
include/xieite/data/rotated.hpp,data,rotated.hpp,Documented,Creates rotated view of range,Standard library iterator concepts,Medium,Complete,Documented in iterator_utilities.md
include/xieite/data/static_str.hpp,data,static_str.hpp,Documented,Compile-time string with template parameter,None,Medium,Complete,Documented in fixed_containers.md
include/xieite/data/str_after.hpp,data,str_after.hpp,Documented,Returns substring after first occurrence of delimiter,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/str_after_last.hpp,data,str_after_last.hpp,Documented,Returns substring after last occurrence of delimiter,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/str_before.hpp,data,str_before.hpp,Documented,Returns substring before first occurrence of delimiter,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/str_before_last.hpp,data,str_before_last.hpp,Documented,Returns substring before last occurrence of delimiter,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/str_between.hpp,data,str_between.hpp,Documented,Returns substring between two delimiters,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/str_join.hpp,data,str_join.hpp,Documented,Joins range of strings with delimiter,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/str_repeat.hpp,data,str_repeat.hpp,Documented,Repeats string specified number of times,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/str_replace.hpp,data,str_replace.hpp,Documented,Replaces occurrences of substring with another,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/str_split.hpp,data,str_split.hpp,Documented,Splits string by delimiter into vector,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/str_truncate.hpp,data,str_truncate.hpp,Documented,Truncates string to specified length,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/strlen.hpp,data,strlen.hpp,Documented,Compile-time string length calculation,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/substr.hpp,data,substr.hpp,Documented,Creates substring with bounds checking,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/tolower.hpp,data,tolower.hpp,Documented,Converts character or string to lowercase,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/toupper.hpp,data,toupper.hpp,Documented,Converts character or string to uppercase,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/trim.hpp,data,trim.hpp,Documented,Removes whitespace from both ends of string,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/trim_back.hpp,data,trim_back.hpp,Documented,Removes whitespace from end of string,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/trim_front.hpp,data,trim_front.hpp,Documented,Removes whitespace from beginning of string,None,Low,Complete,Documented in string_utilities.md
include/xieite/data/tuple_map.hpp,data,tuple_map.hpp,Documented,Map container using tuple for key-value storage,None,High,Complete,Documented in fixed_containers.md
include/xieite/data/tuple_set.hpp,data,tuple_set.hpp,Documented,Set container using tuple for value storage,None,High,Complete,Documented in fixed_containers.md
include/xieite/data/unquote.hpp,data,unquote.hpp,Documented,Removes quotes from string with escape handling,None,Low,Complete,Documented in string_utilities.md
include/xieite/fn/all_true.hpp,fn,all_true.hpp,Documented,Checks if all values are true,None,Low,Complete,Documented in functional_core.md
include/xieite/fn/also.hpp,fn,also.hpp,Documented,Returns value and executes side effect,None,Low,Complete,Documented in functional_core.md
include/xieite/fn/analog.hpp,fn,analog.hpp,Documented,Analog value wrapper,None,Low,Complete,Documented in functional_core.md
include/xieite/fn/any_true.hpp,fn,any_true.hpp,Documented,Checks if any value is true,None,Low,Complete,Documented in functional_core.md
include/xieite/fn/apply_array.hpp,fn,apply_array.hpp,Documented,Apply function to array elements,None,Medium,Complete,Documented in functional_core.md
include/xieite/fn/apply_as_tuple.hpp,fn,apply_as_tuple.hpp,Documented,Apply function with tuple arguments,None,Medium,Complete,Documented in functional_core.md
include/xieite/fn/as.hpp,fn,as.hpp,Documented,Type conversion utility,None,Low,Complete,Documented in functional_core.md
include/xieite/fn/cast.hpp,fn,cast.hpp,Documented,Safe casting utility,None,Low,Complete,Documented in functional_core.md
include/xieite/fn/discardable.hpp,fn,discardable.hpp,Documented,Marks value as discardable,None,Low,Complete,Documented in guards_and_wrappers.md
include/xieite/fn/distribute_args.hpp,fn,distribute_args.hpp,Documented,Distribute arguments to multiple functions,None,Medium,Complete,Documented in functional_core.md
include/xieite/fn/exp_udl.hpp,fn,exp_udl.hpp,Documented,Scientific notation literal,None,Low,Complete,Documented in user_defined_literals.md
include/xieite/fn/fn.hpp,fn,fn.hpp,Documented,Enhanced function wrapper with noexcept,None,High,Complete,Documented in functional_core.md
include/xieite/fn/fstr_udl.hpp,fn,fstr_udl.hpp,Documented,Fixed string literal,None,Low,Complete,Documented in user_defined_literals.md
include/xieite/fn/memoize.hpp,fn,memoize.hpp,Documented,Automatic function result caching,None,High,Complete,Documented in functional_core.md
include/xieite/fn/min_args.hpp,fn,min_args.hpp,Documented,Minimum arguments constraint,None,Low,Complete,Documented in functional_core.md
include/xieite/fn/mixfix.hpp,fn,mixfix.hpp,Documented,Mixfix operator support,None,Medium,Complete,Documented in functional_core.md
include/xieite/fn/noex.hpp,fn,noex.hpp,Documented,Noexcept wrapper,None,Low,Complete,Documented in guards_and_wrappers.md
include/xieite/fn/number_udl.hpp,fn,number_udl.hpp,Documented,Number parsing literal,None,Medium,Complete,Documented in user_defined_literals.md
include/xieite/fn/process_guard.hpp,fn,process_guard.hpp,Documented,Process RAII management,None,Medium,Complete,Documented in guards_and_wrappers.md
include/xieite/fn/radix_udl.hpp,fn,radix_udl.hpp,Documented,Radix literal for number bases,None,Low,Complete,Documented in user_defined_literals.md
include/xieite/fn/range_cmp.hpp,fn,range_cmp.hpp,Documented,Range comparison utility,None,Medium,Complete,Documented in functional_core.md
include/xieite/fn/range_udl.hpp,fn,range_udl.hpp,Documented,Range literal,None,Low,Complete,Documented in user_defined_literals.md
include/xieite/fn/repeat.hpp,fn,repeat.hpp,Documented,Repeat function execution,None,Low,Complete,Documented in functional_core.md
include/xieite/fn/reverse_args.hpp,fn,reverse_args.hpp,Documented,Reverse function argument order,None,Medium,Complete,Documented in functional_core.md
include/xieite/fn/rotate_args.hpp,fn,rotate_args.hpp,Documented,Rotate function arguments,None,Medium,Complete,Documented in functional_core.md
include/xieite/fn/rotate_swap.hpp,fn,rotate_swap.hpp,Documented,Rotate and swap values,None,Low,Complete,Documented in functional_core.md
include/xieite/fn/scope_guard.hpp,fn,scope_guard.hpp,Documented,RAII scope-based cleanup,None,Medium,Complete,Documented in guards_and_wrappers.md
include/xieite/fn/synth_three_way.hpp,fn,synth_three_way.hpp,Documented,Synthesized three-way comparison,None,Medium,Complete,Documented in functional_core.md
